SK_Product,SK_Time,SK_Store,SK_Staff,SK_Order,SK_Customer,item_quantity,stock_quantity,discount
1,20170208,2,7,1289,155,2,12,0.07
1,20170209,2,8,1292,1213,1,12,0.07
1,20170216,2,7,1305,560,1,12,0.20
1,20170319,2,7,1382,1194,2,12,0.20
1,20170401,3,9,1407,507,1,28,0.20
1,20170402,2,8,1411,1035,1,12,0.10
1,20170411,2,7,1429,816,2,12,0.07
1,20170414,2,8,1437,441,2,12,0.05
1,20170415,2,8,1441,812,1,12,0.10
1,20170418,2,8,1448,999,2,12,0.20
1,20170508,2,8,1482,575,2,12,0.20
1,20170613,2,7,1553,933,1,12,0.05
1,20170623,2,8,1586,637,1,12,0.20
1,20170714,1,4,6,467,1,15,0.05
1,20170720,2,7,22,523,1,12,0.20
1,20170816,3,9,73,556,2,28,0.07
1,20170903,1,4,123,1153,1,15,0.07
1,20170923,1,4,161,952,2,15,0.05
1,20171017,2,7,215,543,1,12,0.07
1,20171031,2,8,249,325,1,12,0.05
1,20171119,2,7,287,845,1,12,0.10
1,20171123,2,8,293,820,1,12,0.05
1,20171126,1,4,300,1196,1,15,0.07
1,20171207,1,4,321,646,2,15,0.05
1,20180116,2,7,394,484,1,12,0.05
1,20180327,3,9,523,153,2,28,0.05
1,20180331,2,7,533,772,2,12,0.10
1,20180412,1,4,582,925,1,15,0.20
2,20170120,2,8,1244,1093,2,4,0.20
2,20170211,2,7,1294,183,2,4,0.07
2,20170220,2,8,1316,1332,2,4,0.10
2,20170315,2,7,1371,744,1,4,0.05
2,20170328,1,3,1397,1202,1,17,0.07
2,20170419,1,4,1451,387,2,17,0.07
2,20170501,1,4,1469,1413,1,17,0.05
2,20170516,2,7,1499,359,2,4,0.20
2,20170527,1,3,1520,913,1,17,0.05
2,20170615,2,7,1559,1023,1,4,0.20
2,20170707,2,8,1608,1140,2,4,0.20
2,20170711,1,3,1611,1027,1,17,0.10
2,20170719,2,8,20,1223,2,4,0.10
2,20170730,2,8,41,1330,1,4,0.10
2,20170812,2,7,64,447,2,4,0.20
2,20170919,2,7,153,388,2,4,0.05
2,20171104,2,8,254,588,1,4,0.20
2,20171109,2,7,267,1444,1,4,0.10
2,20171124,2,7,296,147,1,4,0.07
2,20171204,2,8,318,313,1,4,0.07
2,20171215,1,3,334,243,1,17,0.05
2,20171215,2,7,337,1252,2,4,0.07
2,20180316,2,8,495,1416,2,4,0.10
2,20180320,2,7,508,787,2,4,0.05
2,20180420,2,7,623,803,2,4,0.07
2,20181021,1,4,683,669,2,17,0.20
3,20160112,1,4,668,950,1,24,0.05
3,20160118,2,7,784,1066,1,16,0.10
3,20160118,2,8,795,314,2,16,0.07
3,20160120,2,7,828,822,2,16,0.10
3,20160122,2,8,895,1240,2,16,0.07
3,20160128,2,8,1006,248,2,16,0.05
3,20160204,2,7,1117,195,1,16,0.05
3,20160205,2,8,1161,962,1,16,0.05
3,20160209,3,9,1250,921,1,8,0.20
3,20160221,2,8,1461,643,2,16,0.20
3,20160226,1,4,1539,367,1,24,0.10
3,20160227,1,3,1550,1368,2,24,0.07
3,20160228,2,7,1594,218,1,16,0.10
3,20160229,3,10,1605,186,1,8,0.20
3,20160323,2,8,447,296,1,16,0.20
3,20160328,2,7,546,1184,2,16,0.07
3,20160404,2,8,669,565,1,16,0.07
3,20160406,1,4,687,681,2,24,0.07
3,20160413,2,7,701,1393,2,16,0.10
3,20160428,2,8,722,956,2,16,0.20
3,20160428,2,8,723,1144,2,16,0.10
3,20160510,2,7,745,740,1,16,0.10
3,20160515,2,8,755,411,2,16,0.10
3,20160517,1,4,757,678,1,24,0.10
3,20160527,3,10,772,335,2,8,0.05
3,20160603,2,8,790,1227,1,16,0.07
3,20160604,2,8,791,625,1,16,0.05
3,20160611,1,4,803,650,1,24,0.05
3,20160616,2,8,810,381,1,16,0.10
3,20160625,2,7,824,991,2,16,0.07
3,20160628,2,7,829,562,1,16,0.10
3,20160629,2,7,830,512,2,16,0.07
3,20160718,2,7,861,1382,1,16,0.20
3,20160719,2,7,865,1363,1,16,0.07
3,20160724,2,7,874,1028,2,16,0.05
3,20160725,2,7,879,217,1,16,0.07
3,20160801,3,10,891,985,1,8,0.10
3,20160803,3,9,900,949,1,8,0.20
3,20160805,2,8,904,50,2,16,0.10
3,20160805,3,9,903,446,2,8,0.07
3,20160811,3,9,910,1263,2,8,0.10
3,20160813,3,10,913,63,1,8,0.10
3,20160814,2,8,915,1441,2,16,0.10
3,20160817,2,8,923,932,2,16,0.05
3,20160819,2,8,930,332,2,16,0.07
3,20160820,2,8,932,705,2,16,0.05
3,20160820,2,8,933,793,2,16,0.20
3,20160820,2,8,934,307,1,16,0.07
3,20160901,2,8,961,799,1,16,0.05
