SK_Time,year,quarter,month,day_of_month,day_of_week
20160101,2016,1,1,1,Fri
20160102,2016,1,1,2,Sat
20160103,2016,1,1,3,Sun
20160104,2016,1,1,4,Mon
20160105,2016,1,1,5,Tue
20160106,2016,1,1,6,Wed
20160107,2016,1,1,7,Thu
20160108,2016,1,1,8,Fri
20160109,2016,1,1,9,Sat
20160110,2016,1,1,10,Sun
20160112,2016,1,1,12,Tue
20160114,2016,1,1,14,Thu
20160115,2016,1,1,15,Fri
20160116,2016,1,1,16,Sat
20160118,2016,1,1,18,Mon
20160119,2016,1,1,19,Tue
20160120,2016,1,1,20,Wed
20160121,2016,1,1,21,Thu
20160122,2016,1,1,22,Fri
20160123,2016,1,1,23,Sat
20160125,2016,1,1,25,Mon
20160127,2016,1,1,27,Wed
20160128,2016,1,1,28,Thu
20160129,2016,1,1,29,Fri
20160130,2016,1,1,30,Sat
20160131,2016,1,1,31,Sun
20160201,2016,1,2,1,Mon
20160203,2016,1,2,3,Wed
20160204,2016,1,2,4,Thu
20160205,2016,1,2,5,Fri
20160206,2016,1,2,6,Sat
20160207,2016,1,2,7,Sun
20160208,2016,1,2,8,Mon
20160209,2016,1,2,9,Tue
20160210,2016,1,2,10,Wed
20160211,2016,1,2,11,Thu
20160212,2016,1,2,12,Fri
20160213,2016,1,2,13,Sat
20160214,2016,1,2,14,Sun
20160216,2016,1,2,16,Tue
20160217,2016,1,2,17,Wed
20160218,2016,1,2,18,Thu
20160219,2016,1,2,19,Fri
20160220,2016,1,2,20,Sat
20160221,2016,1,2,21,Sun
20160223,2016,1,2,23,Tue
20160225,2016,1,2,25,Thu
20160226,2016,1,2,26,Fri
20160227,2016,1,2,27,Sat
20160228,2016,1,2,28,Sun
20160229,2016,1,2,29,Mon
20160301,2016,1,3,1,Tue
20160302,2016,1,3,2,Wed
20160303,2016,1,3,3,Thu
20160304,2016,1,3,4,Fri
20160305,2016,1,3,5,Sat
20160306,2016,1,3,6,Sun
20160307,2016,1,3,7,Mon
20160308,2016,1,3,8,Tue
20160309,2016,1,3,9,Wed
20160310,2016,1,3,10,Thu
20160311,2016,1,3,11,Fri
20160312,2016,1,3,12,Sat
20160314,2016,1,3,14,Mon
20160315,2016,1,3,15,Tue
20160316,2016,1,3,16,Wed
20160317,2016,1,3,17,Thu
20160318,2016,1,3,18,Fri
20160319,2016,1,3,19,Sat
20160320,2016,1,3,20,Sun
20160321,2016,1,3,21,Mon
20160323,2016,1,3,23,Wed
20160325,2016,1,3,25,Fri
20160326,2016,1,3,26,Sat
20160327,2016,1,3,27,Sun
20160328,2016,1,3,28,Mon
